Date,SPY
2015-01-02,170.58961486816406
2015-01-05,167.50885009765625
2015-01-06,165.93104553222656
2015-01-07,167.998779296875
2015-01-08,170.97994995117188
2015-01-09,169.60975646972656
2015-01-12,168.2810516357422
2015-01-13,167.80783081054688
2015-01-14,166.79466247558594
2015-01-15,165.26670837402344
2015-01-16,167.43405151367188
2015-01-20,167.79119873046875
2015-01-21,168.63821411132812
2015-01-22,171.14602661132812
2015-01-23,170.20762634277344
2015-01-26,170.606201171875
2015-01-27,168.35585021972656
2015-01-28,166.1967315673828
2015-01-29,167.73304748535156
2015-01-30,165.623779296875
2015-02-02,167.67486572265625
2015-02-03,170.09970092773438
2015-02-04,169.45201110839844
2015-02-05,171.1626434326172
2015-02-06,170.6892547607422
2015-02-09,169.92529296875
2015-02-10,171.73558044433594
2015-02-11,171.8352508544922
2015-02-12,173.4877166748047
2015-02-13,174.20188903808594
2015-02-17,174.4758758544922
2015-02-18,174.4925537109375
2015-02-19,174.36798095703125
2015-02-20,175.4142608642578
2015-02-23,175.38937377929688
2015-02-24,175.8876190185547
2015-02-25,175.7381591796875
2015-02-26,175.53050231933594
2015-02-27,174.9326629638672
2015-03-02,176.0370635986328
2015-03-03,175.31459045410156
2015-03-04,174.57557678222656
2015-03-05,174.7665557861328
2015-03-06,172.30856323242188
2015-03-09,173.02273559570312
2015-03-10,170.21591186523438
2015-03-11,169.81732177734375
2015-03-12,171.97637939453125
2015-03-13,170.9217529296875
2015-03-16,173.2053680419922
2015-03-17,172.6905517578125
2015-03-18,174.7665557861328
2015-03-19,173.9693603515625
2015-03-20,175.50494384765625
2015-03-23,175.16299438476562
2015-03-24,174.17872619628906
2015-03-25,171.62632751464844
2015-03-26,171.21766662597656
2015-03-27,171.6096954345703
2015-03-30,173.70326232910156
2015-03-31,172.1852264404297
2015-04-01,171.5763397216797
2015-04-02,172.1934814453125
2015-04-06,173.35296630859375
2015-04-07,172.8942108154297
2015-04-08,173.4781036376953
2015-04-09,174.24545288085938
2015-04-10,175.19631958007812
2015-04-13,174.4039306640625
2015-04-14,174.7375946044922
2015-04-15,175.5216522216797
2015-04-16,175.4715576171875
2015-04-17,173.45303344726562
2015-04-20,175.037841796875
2015-04-21,174.829345703125
2015-04-22,175.68846130371094
2015-04-23,176.1305389404297
2015-04-24,176.5392303466797
2015-04-27,175.80523681640625
2015-04-28,176.36410522460938
2015-04-29,175.63841247558594
2015-04-30,173.8784637451172
2015-05-01,175.7635040283203
2015-05-04,176.26400756835938
2015-05-05,174.24545288085938
2015-05-06,173.52810668945312
2015-05-07,174.2203826904297
2015-05-08,176.51422119140625
2015-05-11,175.6717987060547
2015-05-12,175.14630126953125
2015-05-13,175.17965698242188
2015-05-14,177.0063018798828
2015-05-15,177.19818115234375
2015-05-18,177.7487030029297
2015-05-19,177.69033813476562
2015-05-20,177.56520080566406
2015-05-21,178.0823516845703
2015-05-22,177.656982421875
2015-05-26,175.74685668945312
2015-05-27,177.41502380371094
2015-05-28,177.2148895263672
2015-05-29,176.1138458251953
2015-06-01,176.47254943847656
2015-06-02,176.2974090576172
2015-06-03,176.76441955566406
2015-06-04,175.27145385742188
2015-06-05,174.97116088867188
2015-06-08,173.89512634277344
2015-06-09,173.87010192871094
2015-06-10,175.9553680419922
2015-06-11,176.52261352539062
2015-06-12,175.17132568359375
2015-06-15,174.42059326171875
2015-06-16,175.37147521972656
2015-06-17,175.6550750732422
2015-06-18,177.4817657470703
2015-06-19,176.69395446777344
2015-06-22,177.59913635253906
2015-06-23,177.72486877441406
2015-06-24,176.43405151367188
2015-06-25,175.8976593017578
2015-06-26,175.86410522460938
2015-06-29,172.17623901367188
2015-06-30,172.53662109375
2015-07-01,173.91958618164062
2015-07-02,173.76031494140625
2015-07-06,173.2658233642578
2015-07-07,174.35546875
2015-07-08,171.4302978515625
2015-07-09,171.7403564453125
2015-07-10,173.9027862548828
2015-07-13,175.82223510742188
2015-07-14,176.58494567871094
2015-07-15,176.52627563476562
2015-07-16,177.9427947998047
2015-07-17,178.09364318847656
2015-07-20,178.18589782714844
2015-07-21,177.4817657470703
2015-07-22,177.1632537841797
2015-07-23,176.1658935546875
2015-07-24,174.33865356445312
2015-07-27,173.3245391845703
2015-07-28,175.4534454345703
2015-07-29,176.66036987304688
2015-07-30,176.7022705078125
2015-07-31,176.43405151367188
2015-08-03,175.83901977539062
2015-08-04,175.49534606933594
2015-08-05,176.07371520996094
2015-08-06,174.6320037841797
2015-08-07,174.2967529296875
2015-08-10,176.49278259277344
2015-08-11,174.9002685546875
2015-08-12,175.10980224609375
2015-08-13,174.89190673828125
2015-08-14,175.5288848876953
2015-08-17,176.50953674316406
2015-08-18,175.9982452392578
2015-08-19,174.60687255859375
2015-08-20,170.96084594726562
2015-08-21,165.81451416015625
2015-08-24,158.83258056640625
2015-08-25,156.9634552001953
2015-08-26,162.9898681640625
2015-08-27,167.02146911621094
2015-08-28,167.0298614501953
2015-08-31,165.68038940429688
2015-09-01,160.73524475097656
2015-09-02,163.78611755371094
2015-09-03,163.9034881591797
2015-09-04,161.42254638671875
2015-09-08,165.4792022705078
2015-09-09,163.2664337158203
2015-09-10,164.15496826171875
2015-09-11,164.90087890625
2015-09-14,164.28904724121094
2015-09-15,166.34255981445312
2015-09-16,167.78421020507812
2015-09-17,167.4070281982422
2015-09-18,164.67138671875
2015-09-21,165.52230834960938
2015-09-22,163.3739013671875
2015-09-23,163.1126708984375
2015-09-24,162.52291870117188
2015-09-25,162.4807891845703
2015-09-28,158.40298461914062
2015-09-29,158.49557495117188
2015-09-30,161.45286560058594
2015-10-01,161.8741912841797
2015-10-02,164.2921905517578
2015-10-05,167.21578979492188
2015-10-06,166.64283752441406
2015-10-07,168.0077667236328
2015-10-08,169.52426147460938
2015-10-09,169.62539672851562
2015-10-12,169.78549194335938
2015-10-13,168.7154998779297
2015-10-14,167.9066162109375
2015-10-15,170.48480224609375
2015-10-16,171.2598876953125
2015-10-19,171.34413146972656
2015-10-20,171.12509155273438
2015-10-21,170.06349182128906
2015-10-22,172.93650817871094
2015-10-23,174.83218383789062
2015-10-26,174.40249633789062
2015-10-27,174.06544494628906
2015-10-28,176.04539489746094
2015-10-29,175.9443359375
2015-10-30,175.18609619140625
2015-11-02,177.25868225097656
2015-11-03,177.7725830078125
2015-11-04,177.2333526611328
2015-11-05,177.05648803710938
2015-11-06,176.96372985839844
2015-11-09,175.31240844726562
2015-11-10,175.7168731689453
2015-11-11,175.02598571777344
2015-11-12,172.5826873779297
2015-11-13,170.6448211669922
2015-11-16,173.2398223876953
2015-11-17,173.1134490966797
2015-11-18,175.86007690429688
2015-11-19,175.7084197998047
2015-11-20,176.34873962402344
2015-11-23,176.14654541015625
2015-11-24,176.38243103027344
2015-11-25,176.35719299316406
2015-11-27,176.55935668945312
2015-11-30,175.82640075683594
2015-12-01,177.50302124023438
2015-12-02,175.6916046142578
2015-12-03,173.2313995361328
2015-12-04,176.6099090576172
2015-12-07,175.5399169921875
2015-12-08,174.3603973388672
2015-12-09,173.00387573242188
2015-12-10,173.45040893554688
2015-12-11,170.08877563476562
2015-12-14,170.94813537597656
2015-12-15,172.7427520751953
2015-12-16,175.2703094482422
2015-12-17,172.59950256347656
2015-12-18,169.52462768554688
2015-12-21,170.9230499267578
2015-12-22,172.47409057617188
2015-12-23,174.6099090576172
2015-12-24,174.32171630859375
2015-12-28,173.92335510253906
2015-12-29,175.77947998046875
2015-12-30,174.53353881835938
2015-12-31,172.7876434326172
2016-01-04,170.37220764160156
2016-01-05,170.66030883789062
2016-01-06,168.50762939453125
2016-01-07,164.46485900878906
2016-01-08,162.6596221923828
2016-01-11,162.82057189941406
2016-01-12,164.13427734375
2016-01-13,160.04067993164062
2016-01-14,162.6680145263672
2016-01-15,159.17617797851562
2016-01-19,159.3880615234375
2016-01-20,157.34548950195312
2016-01-21,158.22689819335938
2016-01-22,161.4730224609375
2016-01-25,159.0321044921875
2016-01-26,161.2017822265625
2016-01-27,159.44741821289062
2016-01-28,160.2779541015625
2016-01-29,164.18516540527344
2016-02-01,164.1258087158203
