Ticker,Sharpe Ratio
QQQ,0.95624673302968
IWM,0.807880782792982
IJH,0.7839144416438544
VUG,0.9204422411845692
VTV,0.934154605575378
XLK,1.002626647984335
XLE,0.34408057030313577
XLF,0.7857598846035255
XLV,1.031500268988887
XLU,0.7222765078738194
XLI,0.7589171787291162
XLB,0.4709666832570463
XLP,1.2193006287161805
XLY,1.016289507337538
EFA,0.6752287661321336
VGK,0.7263421983053203
EWJ,0.6159333043144607
EEM,0.5029131867526129
VWO,0.4908897741507217
EWZ,-0.007874100825630009
FXI,0.5106904679060257
IBB,0.7662793529121749
VNQ,0.9861651215497038
SOXX,0.6712464620765023
GLD,0.34757306505742014
USO,-0.19408058064281164
DBC,-0.24809627987387275
SLV,-0.018136121532290356
