Ticker,Sharpe Ratio
QQQ,0.6866637905000147
IWM,0.4641297074865528
IJH,0.5347317758001032
VUG,0.5671228997364602
VTV,0.4624651870240504
XLK,0.610959104872284
XLE,0.1879179516751652
XLF,0.286117993826595
XLV,0.6859740216734352
XLU,0.4217002454038854
XLI,0.5130507903986178
XLB,0.3679114267428256
XLP,0.7626525175469139
XLY,0.6829670082237973
EFA,0.20110068374872225
VGK,0.19931334077546287
EWJ,0.23498539259325513
EEM,0.20778787334253945
VWO,0.19650067425686618
EWZ,0.09989970460881498
FXI,0.1889922133967856
IBB,0.6883813131424094
VNQ,0.3873258602741294
SOXX,0.5665843917353441
GLD,0.2925943509621587
USO,-0.355108509302347
DBC,-0.2250216626090255
SLV,0.1820160053445837
