Ticker,Sharpe Ratio
QQQ,0.9601247610635798
IWM,0.7266803916772375
IJH,0.7283773009181467
VUG,0.9194150165171666
VTV,0.8838672465861727
XLK,1.00533902802817
XLE,0.36524889565441837
XLF,0.8024253394786469
XLV,1.0419267107190628
XLU,0.6812042886782727
XLI,0.7332427083827945
XLB,0.4535528376242885
XLP,1.1612536403671214
XLY,1.0465192595360755
EFA,0.7250513911192991
VGK,0.8051044276485595
EWJ,0.7144147548849084
EEM,0.4812074542782344
VWO,0.5077091912744017
EWZ,-0.03919577213274042
FXI,0.48227345902838187
IBB,0.7347087453062727
VNQ,0.8229791324641382
SOXX,0.6498478891986006
GLD,0.32183899770254076
USO,-0.18395413048792444
DBC,-0.31244829093824744
SLV,-0.06509608910318333
